Tanggal,QTY
1/30/2020,20
2/1/2020,100
2/4/2020,15
2/9/2020,220
2/10/2020,25
2/11/2020,166
2/12/2020,28
2/13/2020,10.5
2/15/2020,6.5
2/17/2020,10
2/18/2020,20
2/19/2020,2.5
2/20/2020,4
2/21/2020,340
2/23/2020,290
2/24/2020,6
2/26/2020,40
2/27/2020,111
2/28/2020,5
2/29/2020,140
3/1/2020,10
3/2/2020,15
3/3/2020,3.5
3/4/2020,5.1
3/9/2020,111
3/13/2020,30
3/16/2020,10
3/17/2020,15
3/18/2020,15
3/19/2020,150
3/20/2020,55
3/21/2020,2
3/29/2020,427
3/30/2020,7
3/31/2020,5
4/5/2020,3
4/6/2020,1
4/7/2020,6
4/8/2020,29
4/9/2020,4
4/13/2020,8
4/14/2020,10
4/15/2020,5
4/16/2020,425
4/17/2020,1
4/20/2020,0.5
4/21/2020,1
4/22/2020,135
4/23/2020,11.1
4/24/2020,10
4/25/2020,5
4/27/2020,38.6
4/28/2020,10
4/30/2020,227
5/2/2020,20
5/3/2020,100
5/4/2020,16.05
5/5/2020,10.5
5/6/2020,119
5/7/2020,1
5/8/2020,168.5
5/9/2020,5
5/12/2020,180.5
5/13/2020,7.15
5/14/2020,5
5/15/2020,11.5
5/18/2020,168.55
5/19/2020,14.3
5/20/2020,1.5
5/28/2020,0
6/5/2020,1
6/8/2020,10
6/15/2020,3
6/16/2020,110
6/23/2020,15
6/29/2020,100.05
6/30/2020,0
7/1/2020,17
7/3/2020,10
7/6/2020,5
7/8/2020,350
7/10/2020,5
7/12/2020,85
7/13/2020,80
7/14/2020,25
7/23/2020,100
7/29/2020,15
8/2/2020,55.2
8/5/2020,10
8/6/2020,10
8/8/2020,10
8/12/2020,5
8/13/2020,10
8/21/2020,7
8/22/2020,5
8/23/2020,120
8/24/2020,15
9/1/2020,34.1
9/3/2020,390
9/5/2020,10
9/7/2020,325
9/8/2020,197.5
9/26/2020,25
9/29/2020,71
9/30/2020,11
10/1/2020,15
10/11/2020,45
10/12/2020,5
10/19/2020,2
10/20/2020,30
10/21/2020,100.15
10/23/2020,2
10/31/2020,10
11/2/2020,2
11/3/2020,15
11/5/2020,5
11/6/2020,1.5
11/10/2020,4
11/13/2020,0.05
11/16/2020,0
11/17/2020,43
11/30/2020,5
12/4/2020,65
12/14/2020,2
12/15/2020,70
12/20/2020,730
12/23/2020,200
12/24/2020,5
1/12/2021,5
1/21/2021,7.5
1/24/2021,100
1/25/2021,5
1/29/2021,63
1/30/2021,400
1/31/2021,65
2/3/2021,980
2/4/2021,4
2/14/2021,1520
2/15/2021,162.25
2/16/2021,10
2/18/2021,504
2/22/2021,10
2/25/2021,14
2/26/2021,124.5
2/27/2021,10
3/9/2021,10
3/10/2021,55
3/12/2021,50
3/13/2021,4
3/14/2021,295
3/19/2021,40
3/21/2021,15
3/29/2021,5
3/31/2021,210
4/6/2021,0.5
4/7/2021,32
4/8/2021,1
4/10/2021,50
4/12/2021,450
4/13/2021,1015
4/15/2021,11
4/17/2021,5
4/21/2021,35
4/22/2021,150
4/24/2021,33
4/27/2021,12
4/28/2021,0.45
4/29/2021,155
5/1/2021,36.75
5/2/2021,8
5/3/2021,30
5/5/2021,185
5/6/2021,30
5/7/2021,200
5/10/2021,20
5/17/2021,145.5
5/18/2021,105.5
5/19/2021,307.95
5/20/2021,496.55
5/21/2021,103.6
5/24/2021,10
5/27/2021,18
5/28/2021,0.25
5/31/2021,10
6/2/2021,270.15
6/3/2021,1.85
6/4/2021,10
6/9/2021,40
6/17/2021,125
6/18/2021,52
6/22/2021,10
6/23/2021,5
6/25/2021,412.5
6/27/2021,775
6/28/2021,100
6/29/2021,110
7/5/2021,38
7/10/2021,20
7/21/2021,5
7/22/2021,475
7/25/2021,4.5
7/26/2021,54
7/30/2021,15
8/2/2021,20
8/4/2021,15
8/8/2021,400
8/12/2021,10
8/18/2021,16
8/22/2021,600
8/23/2021,25
8/24/2021,20
8/25/2021,25
8/27/2021,100
8/28/2021,20
9/1/2021,50
9/2/2021,10
9/6/2021,30
9/10/2021,3.5
9/12/2021,20
9/17/2021,5
9/27/2021,100
9/28/2021,161
9/30/2021,3
